timestamp,stage,ticker,date,issue_type,category,rule_name,field,old_value,new_value,action,action_source,comment
1773667473914,CLEAN,000905.SH,20240315,InvalidTickSize,IntraBarLogic,TickSizeRule,price,"open=5380.019,high=5456.7336,low=5357.1797,close=5454.1463,vwap=5454.1463","open=5380.019,high=5456.7336,low=5357.1797,close=5454.1463,vwap=5454.1463",UNRESOLVED,DISABLED,No policy configured for this issue
1773667473914,CLEAN,000905.SH,20240314,InvalidTickSize,IntraBarLogic,TickSizeRule,price,"open=5415.1499,high=5447.5416,low=5352.1195,close=5392.9267,vwap=5392.9267","open=5415.1499,high=5447.5416,low=5352.1195,close=5392.9267,vwap=5392.9267",UNRESOLVED,DISABLED,No policy configured for this issue
1773667473914,CLEAN,000905.SH,20240313,InvalidTickSize,IntraBarLogic,TickSizeRule,price,"open=5430.0437,high=5459.3222,low=5389.5251,close=5415.1126,vwap=5415.1126","open=5430.0437,high=5459.3222,low=5389.5251,close=5415.1126,vwap=5415.1126",UNRESOLVED,DISABLED,No policy configured for this issue
1773667473914,CLEAN,000905.SH,20240312,InvalidTickSize,IntraBarLogic,TickSizeRule,price,"open=5445.8776,high=5473.2901,low=5385.1402,close=5423.7183,vwap=5423.7183","open=5445.8776,high=5473.2901,low=5385.1402,close=5423.7183,vwap=5423.7183",UNRESOLVED,DISABLED,No policy configured for this issue
1773667473914,CLEAN,000905.SH,20240311,InvalidTickSize,IntraBarLogic,TickSizeRule,price,"open=5342.1778,high=5443.0421,low=5339.2607,close=5441.0507,vwap=5441.0507","open=5342.1778,high=5443.0421,low=5339.2607,close=5441.0507,vwap=5441.0507",UNRESOLVED,DISABLED,No policy configured for this issue
1773667473914,CLEAN,000905.SH,20240308,InvalidTickSize,IntraBarLogic,TickSizeRule,price,"open=5282.4077,high=5361.7104,low=5268.5296,close=5349.595,vwap=5349.595","open=5282.4077,high=5361.7104,low=5268.5296,close=5349.595,vwap=5349.595",UNRESOLVED,DISABLED,No policy configured for this issue
1773667473914,CLEAN,000905.SH,20240307,InvalidTickSize,IntraBarLogic,TickSizeRule,price,"open=5354.3337,high=5384.6567,low=5277.2988,close=5277.2988,vwap=5277.2988","open=5354.3337,high=5384.6567,low=5277.2988,close=5277.2988,vwap=5277.2988",UNRESOLVED,DISABLED,No policy configured for this issue
1773667473914,CLEAN,000905.SH,20240306,InvalidTickSize,IntraBarLogic,TickSizeRule,price,"open=5332.8328,high=5405.4908,low=5293.9518,close=5350.1016,vwap=5350.1016","open=5332.8328,high=5405.4908,low=5293.9518,close=5350.1016,vwap=5350.1016",UNRESOLVED,DISABLED,No policy configured for this issue
1773667473914,CLEAN,000905.SH,20240305,InvalidTickSize,IntraBarLogic,TickSizeRule,price,"open=5358.2206,high=5382.9834,low=5329.9702,close=5351.8268,vwap=5351.8268","open=5358.2206,high=5382.9834,low=5329.9702,close=5351.8268,vwap=5351.8268",UNRESOLVED,DISABLED,No policy configured for this issue
1773667473914,CLEAN,000905.SH,20240304,InvalidTickSize,IntraBarLogic,TickSizeRule,price,"open=5386.9441,high=5400.1227,low=5325.9642,close=5388.82,vwap=5388.82","open=5386.9441,high=5400.1227,low=5325.9642,close=5388.82,vwap=5388.82",UNRESOLVED,DISABLED,No policy configured for this issue
1773667473914,CLEAN,000905.SH,20240301,InvalidTickSize,IntraBarLogic,TickSizeRule,price,"open=5350.8566,high=5387.7839,low=5321.5587,close=5379.0482,vwap=5379.0482","open=5350.8566,high=5387.7839,low=5321.5587,close=5379.0482,vwap=5379.0482",UNRESOLVED,DISABLED,No policy configured for this issue
1773667473914,CLEAN,000905.SH,20240229,InvalidTickSize,IntraBarLogic,TickSizeRule,price,"open=5154.1487,high=5349.7678,low=5154.1487,close=5346.7929,vwap=5346.7929","open=5154.1487,high=5349.7678,low=5154.1487,close=5346.7929,vwap=5346.7929",UNRESOLVED,DISABLED,No policy configured for this issue
1773667473914,CLEAN,000905.SH,20240228,InvalidTickSize,IntraBarLogic,TickSizeRule,price,"open=5311.4253,high=5383.3193,low=5184.0471,close=5184.0471,vwap=5184.0471","open=5311.4253,high=5383.3193,low=5184.0471,close=5184.0471,vwap=5184.0471",UNRESOLVED,DISABLED,No policy configured for this issue
1773667473914,CLEAN,000905.SH,20240227,InvalidTickSize,IntraBarLogic,TickSizeRule,price,"open=5174.8194,high=5307.8043,low=5160.8782,close=5307.8043,vwap=5307.8043","open=5174.8194,high=5307.8043,low=5160.8782,close=5307.8043,vwap=5307.8043",UNRESOLVED,DISABLED,No policy configured for this issue
1773667473914,CLEAN,000905.SH,20240226,InvalidTickSize,IntraBarLogic,TickSizeRule,price,"open=5194.737,high=5255.3615,low=5162.9504,close=5195.4642,vwap=5195.4642","open=5194.737,high=5255.3615,low=5162.9504,close=5195.4642,vwap=5195.4642",UNRESOLVED,DISABLED,No policy configured for this issue
1773667473914,CLEAN,000905.SH,20240223,InvalidTickSize,IntraBarLogic,TickSizeRule,price,"open=5190.6466,high=5197.7115,low=5118.568,close=5197.7115,vwap=5197.7115","open=5190.6466,high=5197.7115,low=5118.568,close=5197.7115,vwap=5197.7115",UNRESOLVED,DISABLED,No policy configured for this issue
1773667473914,CLEAN,000905.SH,20240222,InvalidTickSize,IntraBarLogic,TickSizeRule,price,"open=5133.5478,high=5184.6228,low=5117.6799,close=5176.3431,vwap=5176.3431","open=5133.5478,high=5184.6228,low=5117.6799,close=5176.3431,vwap=5176.3431",UNRESOLVED,DISABLED,No policy configured for this issue
1773667473914,CLEAN,000905.SH,20240221,InvalidTickSize,IntraBarLogic,TickSizeRule,price,"open=5101.4113,high=5252.8785,low=5074.8224,close=5139.0372,vwap=5139.0372","open=5101.4113,high=5252.8785,low=5074.8224,close=5139.0372,vwap=5139.0372",UNRESOLVED,DISABLED,No policy configured for this issue
1773667473914,CLEAN,000905.SH,20240220,InvalidTickSize,IntraBarLogic,TickSizeRule,price,"open=5107.5677,high=5151.7201,low=5072.8837,close=5140.9575,vwap=5140.9575","open=5107.5677,high=5151.7201,low=5072.8837,close=5140.9575,vwap=5140.9575",UNRESOLVED,DISABLED,No policy configured for this issue
1773667473914,CLEAN,000905.SH,20240219,InvalidTickSize,IntraBarLogic,TickSizeRule,price,"open=5225.1379,high=5225.1379,low=5074.7611,close=5141.6037,vwap=5141.6037","open=5225.1379,high=5225.1379,low=5074.7611,close=5141.6037,vwap=5141.6037",UNRESOLVED,DISABLED,No policy configured for this issue
1773667473914,CLEAN,000905.SH,20240208,InvalidTickSize,IntraBarLogic,TickSizeRule,price,"open=5131.8032,high=5367.2243,low=5129.7843,close=5150.2288,vwap=5150.2288","open=5131.8032,high=5367.2243,low=5129.7843,close=5150.2288,vwap=5150.2288",UNRESOLVED,DISABLED,No policy configured for this issue
1773667473914,CLEAN,000905.SH,20240207,InvalidTickSize,IntraBarLogic,TickSizeRule,price,"open=4813.9545,high=5110.8041,low=4813.2326,close=5109.5685,vwap=5109.5685","open=4813.9545,high=5110.8041,low=4813.2326,close=5109.5685,vwap=5109.5685",UNRESOLVED,DISABLED,No policy configured for this issue
1773667473914,CLEAN,000905.SH,20240206,InvalidTickSize,IntraBarLogic,TickSizeRule,price,"open=4411.298,high=4817.1179,low=4405.3085,close=4805.9013,vwap=4805.9013","open=4411.298,high=4817.1179,low=4405.3085,close=4805.9013,vwap=4805.9013",UNRESOLVED,DISABLED,No policy configured for this issue
1773667473914,CLEAN,000905.SH,20240205,InvalidTickSize,IntraBarLogic,TickSizeRule,price,"open=4527.7091,high=4598.0608,low=4281.2399,close=4460.2635,vwap=4460.2635","open=4527.7091,high=4598.0608,low=4281.2399,close=4460.2635,vwap=4460.2635",UNRESOLVED,DISABLED,No policy configured for this issue
1773667473914,CLEAN,000905.SH,20240202,InvalidTickSize,IntraBarLogic,TickSizeRule,price,"open=4686.0999,high=4724.0488,low=4435.5569,close=4563.2221,vwap=4563.2221","open=4686.0999,high=4724.0488,low=4435.5569,close=4563.2221,vwap=4563.2221",UNRESOLVED,DISABLED,No policy configured for this issue
1773667473914,CLEAN,000905.SH,20240201,InvalidTickSize,IntraBarLogic,TickSizeRule,price,"open=4667.9126,high=4771.0465,low=4629.9901,close=4678.7308,vwap=4678.7308","open=4667.9126,high=4771.0465,low=4629.9901,close=4678.7308,vwap=4678.7308",UNRESOLVED,DISABLED,No policy configured for this issue
1773667473914,CLEAN,000905.SH,20240131,InvalidTickSize,IntraBarLogic,TickSizeRule,price,"open=4786.8128,high=4832.401,low=4690.9429,close=4696.9796,vwap=4696.9796","open=4786.8128,high=4832.401,low=4690.9429,close=4696.9796,vwap=4696.9796",UNRESOLVED,DISABLED,No policy configured for this issue
1773667473914,CLEAN,000905.SH,20240130,InvalidTickSize,IntraBarLogic,TickSizeRule,price,"open=4898.3613,high=4939.3511,low=4810.099,close=4814.9908,vwap=4814.9908","open=4898.3613,high=4939.3511,low=4810.099,close=4814.9908,vwap=4814.9908",UNRESOLVED,DISABLED,No policy configured for this issue
1773667473914,CLEAN,000905.SH,20240129,InvalidTickSize,IntraBarLogic,TickSizeRule,price,"open=5032.1113,high=5050.1092,low=4927.9137,close=4927.9137,vwap=4927.9137","open=5032.1113,high=5050.1092,low=4927.9137,close=4927.9137,vwap=4927.9137",UNRESOLVED,DISABLED,No policy configured for this issue
1773667473914,CLEAN,000905.SH,20240126,InvalidTickSize,IntraBarLogic,TickSizeRule,price,"open=5055.2878,high=5086.129,low=5009.9729,close=5027.0932,vwap=5027.0932","open=5055.2878,high=5086.129,low=5009.9729,close=5027.0932,vwap=5027.0932",UNRESOLVED,DISABLED,No policy configured for this issue
1773667473914,CLEAN,000905.SH,20240125,InvalidTickSize,IntraBarLogic,TickSizeRule,price,"open=4931.6273,high=5074.4943,low=4910.9591,close=5073.1779,vwap=5073.1779","open=4931.6273,high=5074.4943,low=4910.9591,close=5073.1779,vwap=5073.1779",UNRESOLVED,DISABLED,No policy configured for this issue
